German,English
unser,our
konnte,could
habt,have
Oder,or
einmal,once
heißt,called
OK,OK
Willst,Want
Hilfe,Help
Familie,family
Geh,go
Baby,infant
Dich,You
Sind,Are
erst,first
fertig,finished
gefunden,found
seid,are
kam,came
nehmen,to take
morgen,tomorrow
sprechen,to speak
Mir,To me
sofort,right away
Kann,Can
Hat,Has
Jahren,years
Kind,child
seinen,his
Genau,Exactly
daran,to it
Junge,Young
bevor,before
Stadt,city
beim,at the
warst,were
Recht,Law
glauben,believe
Warte,Wait
darüber,about it
deiner,yours
deinem,your
Ende,The End
He,He
Dinge,things
Namen,names
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,nothing
Wirklich,For real
bekommen,to get
Männer,Men
vergessen,to forget
Doch,But
dazu,to
gab,gave
später,later
wusste,knew
Augen,eyes
Freunde,friends
Jungs,guys
halten,keep
warten,wait
Glück,happiness
beide,both
gute,quality
Dein,Your
kennen,know
Deine,Yours
n,n
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,get
Dir,To you
mache,make
Von,Of
Uhr,clock
sehe,see
Teufel,Devil
sonst,otherwise
Art,kind
gern,gladly
Liebe,love
jeden,every
könnten,could
ihren,your
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
